2026-01-05 14:12:17 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:17 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:17 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:17 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:17 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:17 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:18 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:18 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:18 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:18 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:18 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:18 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:18 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:18 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:24 | INFO     | __main__ | System starting...
2026-01-05 14:12:25 | INFO     | __main__ | Registered algorithm: intrusion
2026-01-05 14:12:26 | INFO     | __main__ | Registered algorithm: helmet
2026-01-05 14:12:26 | INFO     | __main__ | Registered algorithm: counting
2026-01-05 14:12:27 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:27 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:27 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:27 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:27 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:27 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:28 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:28 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:28 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:28 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:28 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:28 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:28 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:28 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:28 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:28 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
2026-01-05 14:12:28 | INFO     | __main__ | [COUNTING] Current frame persons: 0, Total: 0
